"代码","简称","时间","收盘价(元)","前收盘价(元)"
"513500.SH","标普500","2014-01-17","0.9870","1.0040"
"513500.SH","标普500","2014-01-24","0.9900","0.9870"
"513500.SH","标普500","2014-01-30","0.9670","0.9900"
"513500.SH","标普500","2014-02-07","0.9730","0.9670"
"513500.SH","标普500","2014-02-14","0.9970","0.9730"
"513500.SH","标普500","2014-02-21","1.0030","0.9970"
"513500.SH","标普500","2014-02-28","1.0240","1.0030"
"513500.SH","标普500","2014-03-07","1.0340","1.0240"
"513500.SH","标普500","2014-03-14","1.0180","1.0340"
"513500.SH","标普500","2014-03-21","1.0330","1.0180"
"513500.SH","标普500","2014-03-28","1.0280","1.0330"
"513500.SH","标普500","2014-04-04","1.0490","1.0280"
"513500.SH","标普500","2014-04-11","1.0140","1.0490"
"513500.SH","标普500","2014-04-18","1.0340","1.0140"
"513500.SH","标普500","2014-04-25","1.0430","1.0340"
"513500.SH","标普500","2014-04-30","1.0400","1.0430"
"513500.SH","标普500","2014-05-09","1.0410","1.0400"
"513500.SH","标普500","2014-05-16","1.0430","1.0410"
"513500.SH","标普500","2014-05-23","1.0500","1.0430"
"513500.SH","标普500","2014-05-30","1.0670","1.0500"
"513500.SH","标普500","2014-06-06","1.0840","1.0670"
"513500.SH","标普500","2014-06-13","1.0710","1.0840"
"513500.SH","标普500","2014-06-20","1.0910","1.0710"
"513500.SH","标普500","2014-06-27","1.0910","1.0910"
"513500.SH","标普500","2014-07-04","1.1050","1.0910"
"513500.SH","标普500","2014-07-11","1.0930","1.1050"
"513500.SH","标普500","2014-07-18","1.0880","1.0930"
"513500.SH","标普500","2014-07-25","1.1000","1.0880"
"513500.SH","标普500","2014-08-01","1.0760","1.1000"
"513500.SH","标普500","2014-08-08","1.0620","1.0760"
"513500.SH","标普500","2014-08-15","1.0860","1.0620"
"513500.SH","标普500","2014-08-22","1.1060","1.0860"
"513500.SH","标普500","2014-08-29","1.1070","1.1060"
"513500.SH","标普500","2014-09-05","1.1080","1.1070"
"513500.SH","标普500","2014-09-12","1.1070","1.1080"
"513500.SH","标普500","2014-09-19","1.1180","1.1070"
"513500.SH","标普500","2014-09-26","1.0880","1.1180"
"513500.SH","标普500","2014-09-30","1.0980","1.0880"
"513500.SH","标普500","2014-10-10","1.0740","1.0980"
"513500.SH","标普500","2014-10-17","1.0400","1.0740"
"513500.SH","标普500","2014-10-24","1.0780","1.0400"
"513500.SH","标普500","2014-10-31","1.1070","1.0780"
"513500.SH","标普500","2014-11-07","1.1250","1.1070"
"513500.SH","标普500","2014-11-14","1.1230","1.1250"
"513500.SH","标普500","2014-11-21","1.1300","1.1230"
"513500.SH","标普500","2014-11-28","1.1390","1.1300"
"513500.SH","标普500","2014-12-05","1.1360","1.1390"
"513500.SH","标普500","2014-12-12","1.1070","1.1360"
"513500.SH","标普500","2014-12-19","1.1370","1.1070"
"513500.SH","标普500","2014-12-26","1.1460","1.1370"
"513500.SH","标普500","2014-12-31","1.1480","1.1460"
"513500.SH","标普500","2015-01-09","1.1430","1.1480"
"513500.SH","标普500","2015-01-16","1.1120","1.1430"
"513500.SH","标普500","2015-01-23","1.1520","1.1120"
"513500.SH","标普500","2015-01-30","1.1378","1.1520"
"513500.SH","标普500","2015-02-06","1.1510","1.1378"
"513500.SH","标普500","2015-02-13","1.1723","1.1510"
"513500.SH","标普500","2015-02-17","1.1773","1.1723"
"513500.SH","标普500","2015-02-27","1.1854","1.1773"
"513500.SH","标普500","2015-03-06","1.1925","1.1854"
"513500.SH","标普500","2015-03-13","1.1702","1.1925"
"513500.SH","标普500","2015-03-20","1.1804","1.1702"
"513500.SH","标普500","2015-03-27","1.1591","1.1804"
"513500.SH","标普500","2015-04-03","1.1591","1.1591"
"513500.SH","标普500","2015-04-10","1.1652","1.1591"
"513500.SH","标普500","2015-04-17","1.1702","1.1652"
"513500.SH","标普500","2015-04-24","1.1783","1.1702"
"513500.SH","标普500","2015-04-30","1.1753","1.1783"
"513500.SH","标普500","2015-05-08","1.1702","1.1753"
"513500.SH","标普500","2015-05-15","1.1794","1.1702"
