"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","前收盘价"
"IC00C2.CFE","IC下月连续","2015-04-16","7,520.0000","7,652.4000","7,757.0000","7,464.4000","7,830.6000"
"IC00C2.CFE","IC下月连续","2015-04-17","7,651.4000","7,674.8000","7,804.6000","7,585.4000","7,652.4000"
"IC00C2.CFE","IC下月连续","2015-04-20","7,719.4000","7,505.0000","7,771.2000","7,475.4000","7,674.8000"
"IC00C2.CFE","IC下月连续","2015-04-21","7,550.2000","8,075.0000","8,093.2000","7,530.2000","7,505.0000"
"IC00C2.CFE","IC下月连续","2015-04-22","8,135.2000","8,126.6000","8,175.0000","8,041.2000","8,075.0000"
"IC00C2.CFE","IC下月连续","2015-04-23","8,108.0000","8,204.0000","8,306.8000","8,096.8000","8,126.6000"
"IC00C2.CFE","IC下月连续","2015-04-24","8,167.8000","8,240.0000","8,267.4000","8,035.4000","8,204.0000"
"IC00C2.CFE","IC下月连续","2015-04-27","8,220.4000","8,262.6000","8,490.0000","8,220.4000","8,240.0000"
"IC00C2.CFE","IC下月连续","2015-04-28","8,262.0000","8,054.0000","8,335.0000","7,940.6000","8,262.6000"
"IC00C2.CFE","IC下月连续","2015-04-29","8,066.6000","8,209.0000","8,209.0000","7,997.0000","8,054.0000"
"IC00C2.CFE","IC下月连续","2015-04-30","8,236.8000","8,234.6000","8,314.4000","8,204.6000","8,209.0000"
"IC00C2.CFE","IC下月连续","2015-05-04","8,274.8000","8,226.4000","8,384.0000","8,112.4000","8,234.6000"
"IC00C2.CFE","IC下月连续","2015-05-05","8,217.2000","8,019.4000","8,220.0000","7,970.4000","8,226.4000"
"IC00C2.CFE","IC下月连续","2015-05-06","8,118.2000","7,933.0000","8,166.6000","7,858.8000","8,019.4000"
"IC00C2.CFE","IC下月连续","2015-05-07","7,900.0000","7,834.4000","7,948.0000","7,811.0000","7,933.0000"
"IC00C2.CFE","IC下月连续","2015-05-08","7,894.8000","8,085.0000","8,085.0000","7,854.0000","7,834.4000"
"IC00C2.CFE","IC下月连续","2015-05-11","8,118.8000","8,394.0000","8,403.4000","8,041.4000","8,085.0000"
"IC00C2.CFE","IC下月连续","2015-05-12","8,394.0000","8,557.6000","8,565.0000","8,311.0000","8,394.0000"
"IC00C2.CFE","IC下月连续","2015-05-13","8,500.0000","8,571.6000","8,656.6000","8,400.0000","8,557.6000"
"IC00C2.CFE","IC下月连续","2015-05-14","8,530.0000","8,603.0000","8,680.0000","8,477.6000","8,571.6000"
"IC00C2.CFE","IC下月连续","2015-05-15","8,610.0000","8,579.8000","8,718.0000","8,482.0000","8,603.0000"
"IC00C2.CFE","IC下月连续","2015-05-18","8,597.6000","8,705.6000","8,726.6000","8,485.0000","8,651.4000"
"IC00C2.CFE","IC下月连续","2015-05-19","8,705.6000","9,043.6000","9,071.8000","8,643.0000","8,705.6000"
"IC00C2.CFE","IC下月连续","2015-05-20","9,003.2000","9,203.0000","9,397.0000","9,003.2000","9,043.6000"
"IC00C2.CFE","IC下月连续","2015-05-21","9,244.2000","9,666.6000","9,675.8000","9,236.6000","9,203.0000"
"IC00C2.CFE","IC下月连续","2015-05-22","9,652.2000","9,680.2000","9,793.0000","9,470.0000","9,666.6000"
"IC00C2.CFE","IC下月连续","2015-05-25","9,460.2000","9,912.2000","9,956.0000","9,411.6000","9,680.2000"
"IC00C2.CFE","IC下月连续","2015-05-26","9,919.0000","10,482.2000","10,482.2000","9,919.0000","9,912.2000"
"IC00C2.CFE","IC下月连续","2015-05-27","10,512.8000","10,582.0000","10,721.8000","10,362.0000","10,482.2000"
"IC00C2.CFE","IC下月连续","2015-05-28","10,637.8000","10,059.0000","10,778.0000","9,958.2000","10,582.0000"
"IC00C2.CFE","IC下月连续","2015-05-29","10,098.0000","10,170.0000","10,436.8000","10,010.0000","10,059.0000"
"IC00C2.CFE","IC下月连续","2015-06-01","10,600.0000","11,022.6000","11,065.6000","10,228.0000","10,170.0000"
"IC00C2.CFE","IC下月连续","2015-06-02","11,058.8000","11,312.0000","11,459.8000","10,894.2000","11,022.6000"
"IC00C2.CFE","IC下月连续","2015-06-03","11,352.2000","11,134.4000","11,511.8000","10,860.0000","11,312.0000"
"IC00C2.CFE","IC下月连续","2015-06-04","11,134.4000","10,918.2000","11,278.2000","10,125.6000","11,134.4000"
"IC00C2.CFE","IC下月连续","2015-06-05","10,915.0000","10,944.6000","11,388.0000","10,555.4000","10,918.2000"
"IC00C2.CFE","IC下月连续","2015-06-08","10,830.0000","10,529.8000","10,916.6000","10,356.6000","10,944.6000"
"IC00C2.CFE","IC下月连续","2015-06-09","10,542.4000","10,603.0000","10,855.2000","10,360.0000","10,529.8000"
"IC00C2.CFE","IC下月连续","2015-06-10","10,601.8000","10,853.2000","11,220.0000","10,495.4000","10,603.0000"
"IC00C2.CFE","IC下月连续","2015-06-11","10,920.2000","11,133.8000","11,158.0000","10,821.0000","10,853.2000"
"IC00C2.CFE","IC下月连续","2015-06-12","11,121.0000","11,400.0000","11,483.4000","11,117.2000","11,133.8000"
"IC00C2.CFE","IC下月连续","2015-06-15","11,406.0000","11,222.6000","11,590.0000","11,022.0000","11,400.0000"
"IC00C2.CFE","IC下月连续","2015-06-16","11,172.0000","10,714.2000","11,219.0000","10,568.0000","11,222.6000"
"IC00C2.CFE","IC下月连续","2015-06-17","10,720.2000","10,988.8000","11,050.4000","10,370.2000","10,714.2000"
"IC00C2.CFE","IC下月连续","2015-06-18","10,998.0000","10,585.0000","11,186.8000","10,564.4000","10,988.8000"
"IC00C2.CFE","IC下月连续","2015-06-19","10,535.0000","9,990.0000","10,609.6000","9,950.0000","10,585.0000"
"IC00C2.CFE","IC下月连续","2015-06-23","10,018.0000","9,835.0000","10,068.8000","9,311.8000","10,100.8000"
"IC00C2.CFE","IC下月连续","2015-06-24","9,853.6000","9,973.8000","10,155.0000","9,638.8000","9,835.0000"
"IC00C2.CFE","IC下月连续","2015-06-25","9,987.8000","9,259.4000","10,042.8000","9,231.2000","9,973.8000"
"IC00C2.CFE","IC下月连续","2015-06-26","9,300.2000","8,519.4000","9,300.2000","8,519.4000","9,259.4000"
"IC00C2.CFE","IC下月连续","2015-06-29","8,788.6000","7,667.6000","8,788.6000","7,667.6000","8,519.4000"
"IC00C2.CFE","IC下月连续","2015-06-30","7,641.0000","8,205.8000","8,487.8000","7,450.6000","7,667.6000"
"IC00C2.CFE","IC下月连续","2015-07-01","8,289.8000","7,380.0000","8,616.8000","7,380.0000","8,205.8000"
"IC00C2.CFE","IC下月连续","2015-07-02","7,552.2000","7,510.0000","8,118.0000","7,149.0000","7,380.0000"
"IC00C2.CFE","IC下月连续","2015-07-03","7,510.0000","7,275.8000","7,816.6000","6,972.6000","7,510.0000"
"IC00C2.CFE","IC下月连续","2015-07-06","7,996.6000","7,323.8000","8,024.0000","6,578.8000","7,275.8000"
"IC00C2.CFE","IC下月连续","2015-07-07","7,320.8000","6,430.4000","7,320.8000","6,430.4000","7,323.8000"
"IC00C2.CFE","IC下月连续","2015-07-08","6,100.0000","5,870.6000","7,175.0000","5,870.6000","6,430.4000"
"IC00C2.CFE","IC下月连续","2015-07-09","5,870.0000","6,457.6000","6,457.6000","5,450.2000","5,870.6000"
"IC00C2.CFE","IC下月连续","2015-07-10","7,103.2000","7,103.2000","7,103.2000","6,657.6000","6,457.6000"
"IC00C2.CFE","IC下月连续","2015-07-13","7,499.0000","7,400.0000","7,813.4000","6,466.6000","7,103.2000"
"IC00C2.CFE","IC下月连续","2015-07-14","7,598.0000","7,510.2000","7,910.0000","7,412.4000","7,400.0000"
"IC00C2.CFE","IC下月连续","2015-07-15","7,516.0000","6,836.4000","7,520.0000","6,836.4000","7,510.2000"
"IC00C2.CFE","IC下月连续","2015-07-16","6,800.0000","7,226.6000","7,444.0000","6,418.8000","6,836.4000"
"IC00C2.CFE","IC下月连续","2015-07-17","7,224.8000","7,857.6000","7,857.6000","7,224.8000","7,226.6000"
"IC00C2.CFE","IC下月连续","2015-07-20","7,680.2000","7,315.0000","7,809.2000","7,160.2000","7,599.0000"
"IC00C2.CFE","IC下月连续","2015-07-21","7,315.0000","7,470.0000","7,680.0000","7,140.2000","7,315.0000"
"IC00C2.CFE","IC下月连续","2015-07-22","7,424.0000","7,518.8000","7,635.0000","7,321.4000","7,470.0000"
"IC00C2.CFE","IC下月连续","2015-07-23","7,549.6000","8,225.0000","8,238.2000","7,456.4000","7,518.8000"
"IC00C2.CFE","IC下月连续","2015-07-24","8,219.0000","7,740.0000","8,400.0000","7,686.0000","8,225.0000"
"IC00C2.CFE","IC下月连续","2015-07-27","7,740.0000","7,131.2000","7,938.2000","7,131.2000","7,740.0000"
"IC00C2.CFE","IC下月连续","2015-07-28","7,000.0000","6,939.0000","7,237.2000","6,756.2000","7,131.2000"
"IC00C2.CFE","IC下月连续","2015-07-29","6,955.8000","7,419.2000","7,478.8000","6,674.4000","6,939.0000"
"IC00C2.CFE","IC下月连续","2015-07-30","7,419.2000","6,948.2000","7,437.6000","6,855.6000","7,419.2000"
"IC00C2.CFE","IC下月连续","2015-07-31","6,978.2000","7,100.0000","7,327.6000","6,930.0000","6,948.2000"
"IC00C2.CFE","IC下月连续","2015-08-03","7,079.8000","6,767.4000","7,079.8000","6,700.0000","7,100.0000"
"IC00C2.CFE","IC下月连续","2015-08-04","6,737.0000","7,290.8000","7,334.8000","6,737.0000","6,767.4000"
"IC00C2.CFE","IC下月连续","2015-08-05","7,500.0000","7,140.0000","7,500.0000","7,108.8000","7,290.8000"
"IC00C2.CFE","IC下月连续","2015-08-06","7,045.8000","7,235.8000","7,400.8000","7,014.6000","7,140.0000"
"IC00C2.CFE","IC下月连续","2015-08-07","7,253.0000","7,637.6000","7,731.6000","7,253.0000","7,235.8000"
"IC00C2.CFE","IC下月连续","2015-08-10","7,670.0000","8,143.0000","8,234.8000","7,648.0000","7,637.6000"
"IC00C2.CFE","IC下月连续","2015-08-11","8,152.2000","7,968.0000","8,192.4000","7,968.0000","8,143.0000"
"IC00C2.CFE","IC下月连续","2015-08-12","7,968.0000","7,832.2000","8,089.2000","7,810.0000","7,968.0000"
"IC00C2.CFE","IC下月连续","2015-08-13","7,800.2000","8,060.0000","8,110.0000","7,791.6000","7,832.2000"
"IC00C2.CFE","IC下月连续","2015-08-14","8,080.2000","8,070.0000","8,245.0000","8,000.0000","8,060.0000"
"IC00C2.CFE","IC下月连续","2015-08-17","8,071.0000","8,338.8000","8,353.2000","7,750.0000","8,070.0000"
"IC00C2.CFE","IC下月连续","2015-08-18","8,383.0000","7,450.2000","8,489.6000","7,450.2000","8,338.8000"
"IC00C2.CFE","IC下月连续","2015-08-19","7,422.0000","7,710.6000","7,787.8000","7,215.6000","7,450.2000"
"IC00C2.CFE","IC下月连续","2015-08-20","7,720.0000","7,557.0000","7,918.0000","7,500.2000","7,710.6000"
"IC00C2.CFE","IC下月连续","2015-08-21","7,500.2000","7,207.4000","7,619.0000","7,060.0000","7,557.0000"
"IC00C2.CFE","IC下月连续","2015-08-24","6,868.2000","6,523.6000","6,868.2000","6,523.6000","7,248.4000"
"IC00C2.CFE","IC下月连续","2015-08-25","6,001.2000","5,871.4000","6,120.0000","5,871.4000","6,523.6000"
"IC00C2.CFE","IC下月连续","2015-08-26","5,711.6000","5,284.4000","5,888.0000","5,284.4000","5,871.4000"
"IC00C2.CFE","IC下月连续","2015-08-27","5,324.0000","5,696.2000","5,867.0000","5,305.0000","5,284.4000"
"IC00C2.CFE","IC下月连续","2015-08-28","5,900.2000","6,137.4000","6,137.4000","5,649.8000","5,696.2000"
"IC00C2.CFE","IC下月连续","2015-08-31","6,096.8000","5,663.8000","6,097.0000","5,526.0000","6,137.4000"
"IC00C2.CFE","IC下月连续","2015-09-01","5,663.8000","5,095.6000","5,874.0000","5,095.6000","5,663.8000"
"IC00C2.CFE","IC下月连续","2015-09-02","4,963.0000","5,009.0000","5,588.0000","4,794.2000","5,095.6000"
"IC00C2.CFE","IC下月连续","2015-09-07","5,440.0000","5,436.8000","5,498.8000","5,140.6000","5,009.0000"
"IC00C2.CFE","IC下月连续","2015-09-08","5,432.8000","5,996.8000","5,996.8000","5,432.8000","5,436.8000"
"IC00C2.CFE","IC下月连续","2015-09-09","6,150.0000","6,190.8000","6,396.6000","6,121.2000","5,996.8000"
"IC00C2.CFE","IC下月连续","2015-09-10","6,190.8000","6,099.4000","6,242.2000","6,029.6000","6,190.8000"
"IC00C2.CFE","IC下月连续","2015-09-11","6,040.2000","6,189.6000","6,277.6000","6,040.2000","6,099.4000"
"IC00C2.CFE","IC下月连续","2015-09-14","6,230.0000","5,542.4000","6,271.0000","5,542.4000","6,189.6000"
"IC00C2.CFE","IC下月连续","2015-09-15","5,450.0000","5,311.0000","5,576.0000","5,211.2000","5,542.4000"
"IC00C2.CFE","IC下月连续","2015-09-16","5,361.0000","5,804.6000","5,804.6000","5,341.6000","5,311.0000"
"IC00C2.CFE","IC下月连续","2015-09-17","5,858.8000","5,699.0000","5,998.0000","5,650.0000","5,804.6000"
"IC00C2.CFE","IC下月连续","2015-09-18","5,768.8000","5,830.0000","5,898.6000","5,658.0000","5,699.0000"
"IC00C2.CFE","IC下月连续","2015-09-21","5,558.0000","5,984.8000","5,986.2000","5,527.0000","5,803.2000"
"IC00C2.CFE","IC下月连续","2015-09-22","6,015.6000","5,918.0000","6,024.8000","5,810.4000","5,984.8000"
"IC00C2.CFE","IC下月连续","2015-09-23","5,811.0000","5,762.0000","5,879.0000","5,686.0000","5,918.0000"
"IC00C2.CFE","IC下月连续","2015-09-24","5,750.6000","5,869.6000","5,912.4000","5,750.6000","5,762.0000"
"IC00C2.CFE","IC下月连续","2015-09-25","5,869.6000","5,550.2000","5,875.8000","5,482.6000","5,869.6000"
"IC00C2.CFE","IC下月连续","2015-09-28","5,610.8000","5,768.4000","5,800.0000","5,577.8000","5,550.2000"
"IC00C2.CFE","IC下月连续","2015-09-29","5,680.2000","5,671.0000","5,716.4000","5,557.2000","5,768.4000"
"IC00C2.CFE","IC下月连续","2015-09-30","5,692.0000","5,700.0000","5,778.4000","5,635.2000","5,671.0000"
"IC00C2.CFE","IC下月连续","2015-10-08","5,900.0000","6,005.6000","6,199.0000","5,900.0000","5,700.0000"
"IC00C2.CFE","IC下月连续","2015-10-09","6,047.0000","6,157.0000","6,222.6000","6,022.2000","6,005.6000"
"IC00C2.CFE","IC下月连续","2015-10-12","6,244.4000","6,467.8000","6,660.0000","6,244.4000","6,157.0000"
"IC00C2.CFE","IC下月连续","2015-10-13","6,488.0000","6,491.0000","6,520.0000","6,403.8000","6,467.8000"
"IC00C2.CFE","IC下月连续","2015-10-14","6,432.8000","6,400.0000","6,516.6000","6,400.0000","6,491.0000"
"IC00C2.CFE","IC下月连续","2015-10-15","6,400.0000","6,814.0000","6,820.0000","6,400.0000","6,400.0000"
"IC00C2.CFE","IC下月连续","2015-10-16","6,825.0000","6,779.0000","6,865.0000","6,641.2000","6,814.0000"
"IC00C2.CFE","IC下月连续","2015-10-19","6,623.0000","6,492.0000","6,631.4000","6,311.0000","6,599.8000"
"IC00C2.CFE","IC下月连续","2015-10-20","6,482.4000","6,609.8000","6,619.0000","6,405.6000","6,492.0000"
"IC00C2.CFE","IC下月连续","2015-10-21","6,609.8000","6,268.0000","6,633.2000","6,233.0000","6,609.8000"
"IC00C2.CFE","IC下月连续","2015-10-22","6,311.4000","6,458.2000","6,528.0000","6,273.8000","6,268.0000"
"IC00C2.CFE","IC下月连续","2015-10-23","6,570.0000","6,697.0000","6,698.0000","6,456.6000","6,458.2000"
"IC00C2.CFE","IC下月连续","2015-10-26","6,769.0000","6,639.0000","6,769.0000","6,520.4000","6,697.0000"
"IC00C2.CFE","IC下月连续","2015-10-27","6,610.0000","6,684.4000","6,744.2000","6,411.8000","6,639.0000"
"IC00C2.CFE","IC下月连续","2015-10-28","6,652.0000","6,462.0000","6,699.8000","6,442.6000","6,684.4000"
"IC00C2.CFE","IC下月连续","2015-10-29","6,547.0000","6,521.0000","6,642.8000","6,420.0000","6,462.0000"
"IC00C2.CFE","IC下月连续","2015-10-30","6,549.8000","6,529.4000","6,620.0000","6,400.0000","6,521.0000"
"IC00C2.CFE","IC下月连续","2015-11-02","6,444.2000","6,406.4000","6,574.0000","6,330.2000","6,529.4000"
"IC00C2.CFE","IC下月连续","2015-11-03","6,484.6000","6,384.6000","6,484.6000","6,340.2000","6,406.4000"
"IC00C2.CFE","IC下月连续","2015-11-04","6,420.0000","6,826.0000","6,868.0000","6,402.8000","6,384.6000"
"IC00C2.CFE","IC下月连续","2015-11-05","6,805.0000","6,797.4000","6,861.4000","6,718.0000","6,826.0000"
"IC00C2.CFE","IC下月连续","2015-11-06","6,807.8000","7,072.4000","7,079.8000","6,791.0000","6,797.4000"
"IC00C2.CFE","IC下月连续","2015-11-09","7,082.0000","7,170.0000","7,253.2000","6,990.6000","7,072.4000"
"IC00C2.CFE","IC下月连续","2015-11-10","7,158.2000","7,160.2000","7,224.8000","7,099.8000","7,170.0000"
"IC00C2.CFE","IC下月连续","2015-11-11","7,168.4000","7,319.0000","7,326.6000","7,153.6000","7,160.2000"
"IC00C2.CFE","IC下月连续","2015-11-12","7,321.0000","7,254.6000","7,347.8000","7,112.4000","7,319.0000"
"IC00C2.CFE","IC下月连续","2015-11-13","7,200.0000","7,156.0000","7,225.0000","7,043.4000","7,254.6000"
"IC00C2.CFE","IC下月连续","2015-11-16","7,013.8000","7,370.0000","7,389.0000","7,013.8000","7,156.0000"
"IC00C2.CFE","IC下月连续","2015-11-17","7,382.0000","7,248.0000","7,495.0000","7,228.4000","7,370.0000"
"IC00C2.CFE","IC下月连续","2015-11-18","7,280.2000","7,176.0000","7,376.8000","7,150.0000","7,248.0000"
"IC00C2.CFE","IC下月连续","2015-11-19","7,227.0000","7,435.6000","7,459.0000","7,208.6000","7,176.0000"
"IC00C2.CFE","IC下月连续","2015-11-20","7,439.0000","7,442.6000","7,540.4000","7,388.8000","7,435.6000"
"IC00C2.CFE","IC下月连续","2015-11-23","7,201.0000","7,151.8000","7,353.8000","7,110.2000","7,435.6000"
"IC00C2.CFE","IC下月连续","2015-11-24","7,151.8000","7,232.0000","7,280.0000","7,081.4000","7,151.8000"
"IC00C2.CFE","IC下月连续","2015-11-25","7,257.8000","7,385.0000","7,387.4000","7,201.8000","7,232.0000"
"IC00C2.CFE","IC下月连续","2015-11-26","7,398.0000","7,304.0000","7,430.4000","7,300.0000","7,385.0000"
"IC00C2.CFE","IC下月连续","2015-11-27","7,320.0000","6,846.6000","7,320.0000","6,735.8000","7,304.0000"
"IC00C2.CFE","IC下月连续","2015-11-30","6,881.6000","6,874.2000","6,967.4000","6,687.0000","6,846.6000"
"IC00C2.CFE","IC下月连续","2015-12-01","6,988.0000","6,913.8000","7,035.0000","6,830.0000","6,874.2000"
"IC00C2.CFE","IC下月连续","2015-12-02","6,916.8000","7,054.0000","7,054.0000","6,711.2000","6,913.8000"
"IC00C2.CFE","IC下月连续","2015-12-03","7,022.4000","7,129.0000","7,147.8000","6,987.2000","7,054.0000"
"IC00C2.CFE","IC下月连续","2015-12-04","7,080.2000","7,061.0000","7,126.6000","6,969.8000","7,129.0000"
"IC00C2.CFE","IC下月连续","2015-12-07","7,139.0000","7,081.2000","7,179.8000","7,001.0000","7,061.0000"
"IC00C2.CFE","IC下月连续","2015-12-08","7,017.2000","6,954.2000","7,036.4000","6,900.2000","7,081.2000"
"IC00C2.CFE","IC下月连续","2015-12-09","6,930.0000","6,949.2000","7,002.0000","6,882.0000","6,954.2000"
"IC00C2.CFE","IC下月连续","2015-12-10","6,949.2000","6,902.4000","7,050.0000","6,888.6000","6,949.2000"
"IC00C2.CFE","IC下月连续","2015-12-11","6,853.0000","6,935.0000","6,978.6000","6,853.0000","6,902.4000"
"IC00C2.CFE","IC下月连续","2015-12-14","6,916.8000","7,160.2000","7,160.2000","6,880.0000","6,935.0000"
"IC00C2.CFE","IC下月连续","2015-12-15","7,160.2000","7,172.6000","7,245.8000","7,153.4000","7,160.2000"
"IC00C2.CFE","IC下月连续","2015-12-16","7,183.8000","7,231.8000","7,315.2000","7,183.8000","7,172.6000"
"IC00C2.CFE","IC下月连续","2015-12-17","7,268.0000","7,461.0000","7,475.0000","7,261.6000","7,231.8000"
"IC00C2.CFE","IC下月连续","2015-12-18","7,450.0000","7,487.6000","7,488.2000","7,380.8000","7,461.0000"
"IC00C2.CFE","IC下月连续","2015-12-21","7,247.6000","7,384.0000","7,403.2000","7,200.2000","7,453.8000"
"IC00C2.CFE","IC下月连续","2015-12-22","7,400.0000","7,459.4000","7,460.0000","7,359.0000","7,384.0000"
"IC00C2.CFE","IC下月连续","2015-12-23","7,463.0000","7,338.2000","7,463.0000","7,325.6000","7,459.4000"
"IC00C2.CFE","IC下月连续","2015-12-24","7,351.2000","7,349.4000","7,380.6000","7,231.4000","7,338.2000"
"IC00C2.CFE","IC下月连续","2015-12-25","7,352.8000","7,390.4000","7,390.4000","7,300.4000","7,349.4000"
"IC00C2.CFE","IC下月连续","2015-12-28","7,348.2000","7,088.8000","7,399.2000","7,081.2000","7,390.4000"
"IC00C2.CFE","IC下月连续","2015-12-29","7,128.8000","7,208.4000","7,220.2000","7,095.0000","7,088.8000"
"IC00C2.CFE","IC下月连续","2015-12-30","7,249.8000","7,297.0000","7,330.6000","7,222.0000","7,208.4000"
"IC00C2.CFE","IC下月连续","2015-12-31","7,329.8000","7,147.2000","7,349.8000","7,147.2000","7,297.0000"
"IC00C2.CFE","IC下月连续","2016-01-04","7,104.8000","6,685.0000","7,150.0000","6,685.0000","7,147.2000"
"IC00C2.CFE","IC下月连续","2016-01-05","6,510.0000","6,533.6000","6,709.8000","6,507.2000","6,685.0000"
"IC00C2.CFE","IC下月连续","2016-01-06","6,603.0000","6,632.2000","6,698.4000","6,536.4000","6,533.6000"
"IC00C2.CFE","IC下月连续","2016-01-07","6,590.0000","6,327.0000","6,590.0000","6,327.0000","6,632.2000"
"IC00C2.CFE","IC下月连续","2016-01-08","6,460.0000","6,182.2000","6,460.0000","6,000.2000","6,327.0000"
"IC00C2.CFE","IC下月连续","2016-01-11","6,050.2000","5,700.0000","6,169.6000","5,700.0000","6,182.2000"
"IC00C2.CFE","IC下月连续","2016-01-12","5,800.0000","5,820.4000","5,949.6000","5,745.0000","5,700.0000"
"IC00C2.CFE","IC下月连续","2016-01-13","5,881.2000","5,630.0000","5,960.8000","5,580.4000","5,820.4000"
"IC00C2.CFE","IC下月连续","2016-01-14","5,438.8000","5,800.0000","5,854.0000","5,438.8000","5,630.0000"
"IC00C2.CFE","IC下月连续","2016-01-15","5,782.2000","5,570.0000","5,846.0000","5,486.8000","5,800.0000"
"IC00C2.CFE","IC下月连续","2016-01-18","5,327.6000","5,480.6000","5,588.2000","5,300.0000","5,327.6000"
"IC00C2.CFE","IC下月连续","2016-01-19","5,500.0000","5,726.6000","5,764.2000","5,497.2000","5,480.6000"
"IC00C2.CFE","IC下月连续","2016-01-20","5,680.0000","5,621.8000","5,765.6000","5,591.2000","5,726.6000"
"IC00C2.CFE","IC下月连续","2016-01-21","5,621.8000","5,489.0000","5,790.0000","5,460.2000","5,621.8000"
"IC00C2.CFE","IC下月连续","2016-01-22","5,575.0000","5,567.8000","5,629.8000","5,418.8000","5,489.0000"
"IC00C2.CFE","IC下月连续","2016-01-25","5,571.2000","5,598.0000","5,704.6000","5,550.0000","5,567.8000"
