"代码","简称","时间","收盘价(原始币种)","市净率"
"01380.HK","中国金石","2011-03-18","1.9800","26.5133"
"01380.HK","中国金石","2011-03-25","2.1000","28.1202"
"01380.HK","中国金石","2011-04-01","2.2200","29.7270"
"01380.HK","中国金石","2011-04-08","2.1100","28.2541"
"01380.HK","中国金石","2011-04-15","2.0800","27.8524"
"01380.HK","中国金石","2011-04-21","2.2200","29.7270"
"01380.HK","中国金石","2011-04-29","2.1200","28.3880"
"01380.HK","中国金石","2011-05-06","2.0600","27.5846"
"01380.HK","中国金石","2011-05-13","2.0500","27.4507"
"01380.HK","中国金石","2011-05-20","1.7800","23.8352"
"01380.HK","中国金石","2011-05-27","1.7400","23.2996"
"01380.HK","中国金石","2011-06-03","1.8500","24.7725"
"01380.HK","中国金石","2011-06-10","1.7400","23.2996"
"01380.HK","中国金石","2011-06-17","1.7000","22.7640"
"01380.HK","中国金石","2011-06-24","1.6500","22.0944"
"01380.HK","中国金石","2011-06-30","1.5900","21.2910"
"01380.HK","中国金石","2011-07-08","1.6900","22.6300"
"01380.HK","中国金石","2011-07-15","1.6200","21.6927"
"01380.HK","中国金石","2011-07-22","1.5000","20.0858"
"01380.HK","中国金石","2011-07-29","1.4900","19.9519"
"01380.HK","中国金石","2011-08-05","1.4000","18.7468"
"01380.HK","中国金石","2011-08-12","1.2400","16.6043"
"01380.HK","中国金石","2011-08-19","1.3100","17.5416"
"01380.HK","中国金石","2011-08-26","1.3000","17.4077"
"01380.HK","中国金石","2011-09-02","1.4600","19.5502"
"01380.HK","中国金石","2011-09-09","1.3400","17.9434"
"01380.HK","中国金石","2011-09-16","1.1700","15.6670"
"01380.HK","中国金石","2011-09-23","1.0200","13.6584"
"01380.HK","中国金石","2011-09-30","1.0800","14.4618"
"01380.HK","中国金石","2011-10-07","1.0900","14.5957"
"01380.HK","中国金石","2011-10-14","1.2500","16.7382"
"01380.HK","中国金石","2011-10-21","1.0400","13.9262"
"01380.HK","中国金石","2011-10-28","1.3500","18.0773"
"01380.HK","中国金石","2011-11-04","1.2500","16.7382"
"01380.HK","中国金石","2011-11-11","1.2400","16.6043"
"01380.HK","中国金石","2011-11-18","1.3000","17.4077"
"01380.HK","中国金石","2011-11-25","1.1800","15.8009"
"01380.HK","中国金石","2011-12-02","1.2900","17.2738"
"01380.HK","中国金石","2011-12-09","1.2600","16.8696"
"01380.HK","中国金石","2011-12-16","1.2500","16.7357"
"01380.HK","中国金石","2011-12-23","1.2500","16.7357"
"01380.HK","中国金石","2011-12-30","1.1800","15.7985"
"01380.HK","中国金石","2012-01-06","1.1200","1.6246"
"01380.HK","中国金石","2012-01-13","1.0500","1.5231"
"01380.HK","中国金石","2012-01-20","1.0100","1.4458"
"01380.HK","中国金石","2012-01-27","1.0000","1.4315"
"01380.HK","中国金石","2012-02-03","0.9800","1.4029"
"01380.HK","中国金石","2012-02-10","0.9800","1.4029"
"01380.HK","中国金石","2012-02-17","0.8500","1.2144"
"01380.HK","中国金石","2012-02-24","0.9200","1.3144"
"01380.HK","中国金石","2012-03-02","0.9300","1.3287"
"01380.HK","中国金石","2012-03-09","0.8700","1.2429"
"01380.HK","中国金石","2012-03-16","0.8800","1.2572"
"01380.HK","中国金石","2012-03-23","0.6300","0.9001"
"01380.HK","中国金石","2012-03-30","0.3900","0.5572"
"01380.HK","中国金石","2012-04-05","0.4950","0.7072"
"01380.HK","中国金石","2012-04-13","0.5300","0.7572"
"01380.HK","中国金石","2012-04-20","0.4950","0.7072"
"01380.HK","中国金石","2012-04-27","0.4850","0.6929"
"01380.HK","中国金石","2012-05-04","0.4250","0.6072"
"01380.HK","中国金石","2012-05-11","0.3300","0.4715"
"01380.HK","中国金石","2012-05-18","0.3150","0.4500"
"01380.HK","中国金石","2012-05-25","0.2850","0.4072"
"01380.HK","中国金石","2012-06-01","0.3150","0.4451"
"01380.HK","中国金石","2012-06-08","0.2900","0.4097"
"01380.HK","中国金石","2012-06-15","0.2850","0.4027"
"01380.HK","中国金石","2012-06-22","0.3000","0.4239"
"01380.HK","中国金石","2012-06-29","0.2550","0.3603"
"01380.HK","中国金石","2012-07-06","0.2490","0.3518"
"01380.HK","中国金石","2012-07-13","0.2380","0.3363"
