"代码","简称","时间","收盘价(元)","最高价(元)","最低价(元)","前收盘价(元)","成交量","成交金额(元)"
"000827.SH","中证环保","2012-09-25","865.6900","875.5700","863.0600","0.0000","268,017,300.0000","2,385,310,000.0000"
"000827.SH","中证环保","2012-09-26","843.7600","867.8300","842.4500","865.6900","315,097,500.0000","2,674,870,000.0000"
"000827.SH","中证环保","2012-09-27","862.5500","867.5100","842.2400","843.7600","415,982,600.0000","3,521,560,000.0000"
"000827.SH","中证环保","2012-09-28","877.9100","878.5000","857.2000","862.5500","466,759,700.0000","3,931,090,000.0000"
"000827.SH","中证环保","2012-11-02","881.7700","882.6100","874.2700","877.9100","381,247,200.0000","3,398,210,000.0000"
"000827.SH","中证环保","2012-11-05","879.7500","884.2300","875.4900","881.7700","410,834,200.0000","3,607,190,000.0000"
"000827.SH","中证环保","2012-11-06","876.5200","881.4500","865.2600","879.7500","451,898,600.0000","4,006,900,000.0000"
"000827.SH","中证环保","2012-11-07","877.1300","879.4700","870.0200","876.5200","447,595,800.0000","4,516,890,000.0000"
"000827.SH","中证环保","2012-11-08","853.1200","869.9100","853.1200","877.1300","445,253,100.0000","4,089,660,000.0000"
"000827.SH","中证环保","2012-11-09","851.3100","856.3900","848.4000","853.1200","343,823,100.0000","3,241,380,000.0000"
"000827.SH","中证环保","2012-11-12","860.7500","863.1500","852.3200","851.3100","422,598,000.0000","3,995,700,000.0000"
"000827.SH","中证环保","2012-11-13","845.6500","861.2700","843.8500","860.7500","426,949,900.0000","3,908,970,000.0000"
"000827.SH","中证环保","2012-11-14","848.4400","849.0500","836.4100","845.6500","376,045,100.0000","3,474,020,000.0000"
"000827.SH","中证环保","2012-11-15","832.2700","848.3200","831.5200","848.4400","386,785,000.0000","3,536,260,000.0000"
"000827.SH","中证环保","2012-11-16","831.3600","836.3000","824.7800","832.2700","416,085,000.0000","3,658,020,000.0000"
"000827.SH","中证环保","2012-11-19","837.6500","837.7000","826.4400","831.3600","385,350,600.0000","3,368,870,000.0000"
"000827.SH","中证环保","2012-11-20","835.0900","842.3100","832.8700","837.6500","384,205,300.0000","3,332,040,000.0000"
"000827.SH","中证环保","2012-11-21","840.6800","840.6800","822.3900","835.0900","375,001,000.0000","3,249,930,000.0000"
"000827.SH","中证环保","2012-11-22","831.4200","838.7300","829.0300","840.6800","341,074,800.0000","2,863,630,000.0000"
"000827.SH","中证环保","2012-11-23","832.1600","836.8900","829.7500","831.4200","345,342,100.0000","2,940,260,000.0000"
"000827.SH","中证环保","2012-11-26","820.6100","831.2700","819.9300","832.1600","340,364,600.0000","2,877,080,000.0000"
"000827.SH","中证环保","2012-11-27","788.7600","817.4800","788.5900","820.6100","443,872,400.0000","3,584,600,000.0000"
"000827.SH","中证环保","2012-11-28","774.2800","785.1700","771.9800","788.7600","367,554,000.0000","2,875,550,000.0000"
"000827.SH","中证环保","2012-11-29","766.2600","780.5800","765.2300","774.2800","307,846,200.0000","2,364,110,000.0000"
"000827.SH","中证环保","2012-11-30","775.2400","775.5600","764.1500","766.2600","323,543,100.0000","2,587,880,000.0000"
"000827.SH","中证环保","2012-12-03","753.9300","777.5200","753.2500","775.2400","334,963,000.0000","2,672,990,000.0000"
"000827.SH","中证环保","2012-12-04","761.1900","762.1000","741.1700","753.9300","380,212,200.0000","2,926,900,000.0000"
"000827.SH","中证环保","2012-12-05","790.0200","793.7000","756.9400","761.1900","635,992,900.0000","5,065,310,000.0000"
"000827.SH","中证环保","2012-12-06","788.0700","794.9000","784.6400","790.0200","431,322,200.0000","3,275,690,000.0000"
"000827.SH","中证环保","2012-12-07","807.4800","808.1200","785.9300","788.0700","644,330,100.0000","5,041,100,000.0000"
"000827.SH","中证环保","2012-12-10","824.7200","824.8000","808.8600","807.4800","770,808,300.0000","6,077,050,000.0000"
"000827.SH","中证环保","2012-12-17","845.5800","847.7300","837.2900","824.7200","908,923,800.0000","7,471,700,000.0000"
"000827.SH","中证环保","2012-12-18","845.0200","854.1400","839.2400","845.5800","817,662,100.0000","6,658,510,000.0000"
"000827.SH","中证环保","2012-12-19","850.7600","853.1000","846.1900","845.0200","669,056,700.0000","5,827,790,000.0000"
"000827.SH","中证环保","2012-12-20","858.0700","858.0700","845.2100","850.7600","817,770,600.0000","6,795,450,000.0000"
"000827.SH","中证环保","2012-12-21","854.7900","865.2400","850.1000","858.0700","877,492,600.0000","7,985,960,000.0000"
"000827.SH","中证环保","2012-12-24","857.3600","859.3600","851.2700","854.7900","648,823,900.0000","5,943,670,000.0000"
"000827.SH","中证环保","2012-12-25","875.5600","877.9800","852.2700","857.3600","984,744,000.0000","8,782,520,000.0000"
"000827.SH","中证环保","2012-12-26","889.8700","889.8700","874.3800","875.5600","954,998,400.0000","8,796,430,000.0000"
"000827.SH","中证环保","2012-12-27","880.1100","896.1100","879.8700","889.8700","907,984,400.0000","8,148,440,000.0000"
"000827.SH","中证环保","2012-12-28","886.6400","887.6400","874.7000","880.1100","694,644,800.0000","6,414,830,000.0000"
"000827.SH","中证环保","2012-12-31","898.0000","898.0000","885.8000","886.6400","806,499,200.0000","7,632,910,000.0000"
"000827.SH","中证环保","2013-01-04","897.5800","907.3700","888.4500","898.0000","888,594,900.0000","8,761,990,000.0000"
"000827.SH","中证环保","2013-01-07","909.1100","909.2700","893.3000","897.5800","858,215,400.0000","8,356,410,000.0000"
"000827.SH","中证环保","2013-01-08","921.0800","924.1800","903.4400","909.1100","1,111,337,500.0000","10,676,750,000.0000"
